-1,25,-1,6,-1,29
-1,2,-1,7,-1,-1
-1,27,3,-1,1,-1
-1,4,-1,9,-1,2
28,-1,5,-1,3,-1
-1,-1,-1,-1,10,4
0,-1,-1,12,11,-1
1,8,14,-1,-1,-1
-1,-1,-1,-1,7,-1
3,-1,-1,-1,14,-1
-1,5,-1,16,-1,-1
-1,6,-1,17,16,-1
6,-1,13,-1,17,-1
-1,-1,-1,-1,18,12
-1,9,-1,20,-1,7
-1,-1,-1,21,20,-1
10,11,-1,-1,-1,-1
11,12,-1,-1,22,-1
-1,13,-1,24,23,-1
-1,-1,26,-1,-1,-1
14,15,-1,-1,-1,-1
15,-1,28,-1,-1,-1
-1,17,23,-1,-1,-1
-1,18,-1,-1,-1,22
18,-1,-1,-1,29,-1
-1,26,-1,-1,0,-1
-1,-1,27,-1,25,19
-1,-1,-1,-1,2,26
-1,-1,29,4,-1,21
-1,24,0,-1,-1,28
