24,25,1,-1,-1,-1
-1,-1,8,-1,6,0
26,-1,-1,-1,-1,-1
27,4,-1,-1,8,-1
-1,-1,-1,-1,3,-1
29,-1,-1,-1,10,-1
-1,1,-1,-1,11,-1
-1,-1,-1,-1,12,-1
-1,3,9,-1,-1,1
-1,-1,16,-1,-1,8
-1,5,-1,-1,-1,-1
-1,6,-1,17,-1,-1
-1,7,13,-1,-1,-1
-1,-1,-1,19,-1,12
-1,-1,15,-1,-1,-1
-1,-1,22,-1,-1,14
-1,-1,17,-1,-1,9
11,-1,18,-1,-1,16
-1,-1,-1,-1,-1,17
13,20,-1,-1,24,-1
-1,-1,-1,-1,19,-1
-1,22,28,27,-1,-1
-1,-1,23,-1,21,15
-1,-1,-1,29,28,22
-1,19,-1,-1,-1,-1
-1,26,-1,-1,0,-1
-1,-1,-1,2,25,-1
21,-1,-1,3,-1,-1
-1,22,-1,-1,-1,21
23,-1,-1,5,-1,-1
