24,25,-1,-1,5,-1
-1,2,8,-1,-1,-1
26,-1,-1,-1,1,-1
27,4,-1,-1,8,-1
-1,29,5,-1,3,-1
-1,0,-1,-1,-1,4
-1,-1,7,12,11,-1
-1,-1,-1,13,-1,12
-1,3,-1,-1,-1,8
-1,10,-1,15,-1,-1
-1,-1,-1,16,9,-1
-1,6,-1,17,-1,-1
6,-1,-1,-1,17,-1
7,14,20,-1,-1,-1
-1,-1,-1,-1,14,-1
9,-1,-1,21,-1,-1
10,-1,-1,-1,-1,-1
11,-1,-1,23,22,-1
-1,-1,19,-1,-1,-1
-1,-1,-1,25,24,18
-1,-1,-1,-1,-1,13
15,22,-1,-1,26,-1
-1,17,-1,-1,21,-1
17,-1,-1,29,28,-1
-1,19,-1,-1,29,-1
19,26,-1,-1,-1,-1
-1,21,27,-1,25,-1
-1,-1,-1,3,-1,26
-1,23,-1,-1,-1,-1
23,24,-1,-1,4,-1
